Estado,Sigla,Área,Total,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 17 anos,18 e 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 anos ou mais,Idade ignorada
Acre,AC,164173.429,830018,71001,74586,75573,47566,31123,77247,68848,125875,108066,71717,45538,32878,...
Alagoas,AL,27830.661,3127683,228824,235921,246946,155398,102795,258640,242922,468522,437413,341081,230172,179049,...
Amapá,AP,142470.762,733759,65666,67164,65346,40397,27231,69388,63419,115476,94543,63213,37479,24437,...
Amazonas,AM,1559255.881,3941613,351726,367770,355930,222408,145570,362878,332163,596414,510664,339108,215739,141243,...
Bahia,BA,564760.429,14141626,887805,965550,1009716,637602,431357,1084267,1021456,2182095,2126056,1636443,1153753,1005526,...
Ceará,CE,148894.447,8794957,574335,609895,618205,392095,256717,701679,719689,1401618,1232589,997602,672897,617636,...
Distrito Federal,DF,5760.784,2817381,166848,184611,182774,122342,86204,227966,224162,462483,463429,331472,206463,158627,...
Espírito Santo,ES,46074.448,3833712,240565,254280,246651,152730,103299,276033,279424,605389,576351,467592,362203,269195,...
Goiás,GO,340242.859,7056495,461578,494072,475639,301032,207769,554318,564470,1143567,1065838,823795,555696,408721,...
Maranhão,MA,329651.496,6776699,517099,547083,581398,374934,237980,572449,518068,1068030,892507,645190,447639,374322,...
Mato Grosso,MT,903208.361,3658649,281538,283473,264675,162674,108126,289545,303722,603862,530710,399845,258407,172072,...
Mato Grosso do Sul,MS,357142.082,2757013,199203,208196,199393,119896,78379,206935,216631,428459,391566,317264,224963,166128,...
Minas Gerais,MG,586513.983,20539989,1187024,1257588,1263307,809481,554110,1526557,1536109,3126299,3023580,2595998,2013210,1646726,...
Pará,PA,1245870.704,8120131,632045,669620,689277,439839,286939,707887,665964,1291231,1094817,766180,507379,368953,...
Paraíba,PB,56467.242,3974687,264885,276601,285435,177746,118529,301247,296144,609074,570833,458865,317404,297924,...
Paraná,PR,199298.981,11444380,698133,759916,737248,456314,304712,846638,889031,1748094,1653079,1458095,1069300,823820,...
Pernambuco,PE,98067.877,9058931,593211,645069,656399,409870,275700,712918,680743,1395368,1314913,1042581,724940,607219,...
Piauí,PI,251755.481,3271199,216538,226124,239272,155969,101389,258937,242215,509850,463880,363126,259137,234762,...
Rio de Janeiro,RJ,43750.425,16055174,875769,1015741,964636,600470,411508,1149011,1160926,2376896,2401463,2073125,1678255,1347374,...
Rio Grande do Norte,RN,52809.599,3302729,204705,220287,229666,146300,97226,255391,256511,525855,475828,393069,263949,233942,...
Rio Grande do Sul,RS,281707.151,10882965,609791,665885,630834,398734,270334,755646,783222,1615622,1532295,1427186,1204482,988934,...
Rondônia,RO,237754.172,1581196,113450,117536,117166,74037,48021,124515,126056,253223,230699,180447,118007,78039,...
Roraima,RR,223644.53,636707,64752,63243,58213,33862,23013,58711,55700,98674,78224,51855,31467,18993,...
Santa Catarina,SC,95730.69,7610361,468406,489625,465179,285298,195331,574485,623099,1272471,1114526,937548,688604,495789,...
São Paulo,SP,248219.485,44411238,2467570,2775377,2732216,1707409,1150260,3210836,3306143,7039945,6793597,5577317,4266063,3384505,...
Sergipe,SE,21938.188,2210004,148010,156741,164750,104952,67592,178868,175310,347004,321142,251026,163089,131520,...
Tocantins,TO,277423.627,1511460,114383,117486,119117,75942,49431,123471,117576,234512,213674,156947,104386,84535,...
